"COLUMN1","time","date","mw"
"n2","23:00","2017-08-24","0.1"
"n2","19:00","2017-03-09","0"
"n2","19:15","2017-09-08","0.07"
"n2","12:15","2017-08-11","17.23"
"n2","14:30","2017-11-29","14.74"
"n2","01:00","2017-08-09","0.1"
"n2","13:15","2017-12-06","12.25"
"n2","02:45","2017-06-18","0"
"n2","03:15","2017-04-09","0.07"
"n2","08:45","2017-04-23","1.86"
"n2","11:00","2017-12-29","21.99"
"n2","23:00","2017-12-08","4.38"
"n2","18:45","2017-08-04","0"
"n2","19:15","2017-11-08","0.07"
"n2","07:45","2017-02-14","0.31"
"n2","02:00","2017-01-18","0"
"n2","14:15","2017-04-23","3.19"
"n2","09:30","2017-04-25","2.4"
"n2","19:00","2017-04-11","0"
"n2","19:15","2017-06-30","0.1"
"n2","23:30","2017-07-09","0"
"n2","04:00","2017-06-25","0"
"n2","19:30","2017-09-15","0"
"n2","01:00","2017-03-16","0"
"n2","01:00","2017-05-17","0"
"n2","16:30","2017-05-17","0.89"
"n2","16:30","2017-03-16","1.27"
"n2","03:30","2017-07-17","0"
"n2","12:15","2017-02-22","3.82"
"n2","10:15","2017-06-20","3.64"
"n2","09:30","2017-03-02","2.5"
"n2","19:00","2017-01-17","0"
"n2","23:15","2017-11-27","0"
"n2","23:30","2017-08-13","0.17"
"n2","17:30","2017-01-19","0.24"
"n2","22:00","2017-08-06","0"
"n2","13:45","2017-02-21","3.71"
"n2","18:30","2017-05-02","0"
"n2","08:45","2017-10-24","8.9"
"n2","21:15","2017-03-16","0.1"
"n2","21:15","2017-05-17","0"
"n2","07:30","2017-08-05","2.13"
"n2","05:30","2017-10-08","0"
"n2","23:00","2017-06-13","0"
"n2","14:00","2017-08-05","14.29"
"n2","08:30","2017-10-09","12.09"
"n2","03:45","2017-09-17","0"
"n2","20:00","2017-05-25","0"
"n2","05:45","2017-11-05","0.19"
"n2","01:45","2017-09-10","0.25"
"n2","05:45","2017-03-04","0"
"n2","01:15","2017-08-30","0"
"n2","13:15","2017-05-03","3.65"
"n2","11:15","2017-02-20","3.48"
"n2","04:15","2017-11-22","0"
"n2","10:45","2017-05-28","3.34"
"n2","12:00","2017-08-31","20.75"
"n2","13:15","2017-11-26","12.02"
"n2","08:00","2017-06-01","1.45"
"n2","08:00","2017-07-01","0.71"
"n2","12:00","2017-03-15","3.61"
"n2","03:15","2017-03-28","0.07"
"n2","11:15","2017-10-23","0.07"
"n2","11:45","2017-12-15","23.77"
"n2","15:15","2017-09-15","9.66"
"n2","22:00","2017-07-24","0.07"
"n2","20:45","2017-05-15","0"
"n2","08:00","2017-09-29","2.1"
"n2","10:00","2017-10-18","8.38"
"n2","14:45","2017-01-26","2.2"
"n2","17:15","2017-09-18","2.32"
"n2","01:45","2017-04-04","0"
"n2","02:15","2017-10-19","0"
"n2","13:45","2017-04-12","3.14"
"n2","13:30","2017-04-15","4.01"
"n2","08:30","2017-03-07","1.16"
"n2","07:15","2017-10-21","1.93"
"n2","14:15","2017-10-24","18.18"
"n2","02:15","2017-08-09","0.1"
"n2","05:15","2017-02-23","0"
"n2","07:00","2017-06-22","0.17"
"n2","15:30","2017-05-08","2.5"
"n2","03:30","2017-07-03","0"
"n2","07:00","2017-10-28","1.89"
"n2","17:30","2017-11-23","0.24"
"n2","16:00","2017-04-09","0.07"
"n2","10:45","2017-01-18","1.85"
"n2","12:30","2017-02-06","3.85"
"n2","23:45","2017-07-10","0"
"n2","21:45","2017-07-24","0.07"
"n2","20:30","2017-12-13","4.5"
"n2","12:00","2017-04-08","0.07"
"n2","05:00","2017-04-09","0.07"
"n2","10:15","2017-03-26","2.24"
"n2","10:15","2017-05-27","3.17"
"n2","04:30","2017-01-19","0.1"
"n2","05:15","2017-06-03","0"
"n2","11:00","2017-12-04","15.11"
"n2","13:00","2017-11-14","23.24"
"n2","02:15","2017-04-18","0"
"n2","16:30","2017-09-20","7.59"
"n2","18:15","2017-06-16","0"
"n2","15:30","2017-11-11","6.62"
"n2","13:15","2017-02-28","3.91"
"n2","22:15","2017-01-24","0"
"n2","03:00","2017-12-20","4.4"
"n2","10:15","2017-07-01","0.79"
"n2","22:45","2017-04-07","0.07"
"n2","11:30","2017-08-13","22.7"
"n2","16:45","2017-05-30","0.71"
"n2","19:45","2017-02-25","0.1"
"n2","18:00","2017-12-07","4.31"
"n2","00:00","2017-09-24","0"
"n2","12:00","2017-03-04","0"
"n2","16:00","2017-03-22","2.03"
"n2","08:00","2017-04-07","0.7"
"n2","20:45","2017-01-22","0"
"n2","19:00","2017-06-06","0"
"n2","16:30","2017-11-15","5.18"
"n2","06:30","2017-10-15","0"
"n2","09:30","2017-08-28","14.54"
"n2","15:30","2017-10-18","15.35"
"n2","16:00","2017-02-08","2.23"
"n2","04:15","2017-01-09","0"
"n2","03:15","2017-02-19","0"
"n2","20:15","2017-08-27","0"
"n2","15:45","2017-03-28","2.4"
"n2","23:30","2017-10-16","0"
"n2","04:45","2017-04-21","0"
"n2","19:00","2017-07-26","0"
"n2","00:30","2017-07-11","0"
"n2","08:15","2017-01-29","0.11"
"n2","22:30","2017-11-20","0.11"
"n2","21:45","2017-07-28","0"
"n2","08:15","2017-03-19","1.3"
"n2","12:30","2017-05-06","3.91"
"n2","14:15","2017-01-17","1.24"
"n2","13:45","2017-11-27","15.64"
"n2","05:45","2017-08-17","0"
"n2","06:15","2017-09-12","0"
"n2","13:45","2017-09-25","8.1"
"n2","11:45","2017-09-29","13.41"
"n2","12:00","2017-03-08","1.78"
"n2","00:30","2017-05-23","0.1"
"n2","04:45","2017-03-21","0"
"n2","12:30","2017-01-30","3.62"
"n2","11:00","2017-01-02","0"
"n2","06:15","2017-11-20","0.07"
"n2","02:15","2017-05-18","0"
"n2","20:15","2017-07-09","0"
"n2","16:45","2017-09-22","4.54"
"n2","17:30","2017-03-14","0.41"
"n2","07:30","2017-02-17","0.2"
"n2","23:45","2017-01-07","0"
"n2","23:45","2017-11-18","0"
"n2","06:45","2017-06-05","0.13"
"n2","00:30","2017-04-05","0.1"
"n2","03:45","2017-01-03","0"
"n2","16:00","2017-09-30","9.43"
"n2","07:00","2017-01-05","0"
"n2","08:30","2017-07-23","4.7"
"n2","13:30","2017-11-11","18.17"
"n2","21:30","2017-03-20","0"
"n2","21:45","2017-05-13","0.1"
"n2","20:00","2017-09-16","0"
"n2","02:00","2017-05-05","0"
"n2","22:15","2017-07-23","0.07"
"n2","02:45","2017-10-25","0"
"n2","23:45","2017-01-29","0"
"n2","05:00","2017-06-08","0"
"n2","08:00","2017-10-03","3.89"
"n2","11:00","2017-08-25","15.1"
"n2","18:00","2017-08-28","0.86"
"n2","04:15","2017-04-15","0"
"n2","13:30","2017-11-30","17.27"
"n2","20:15","2017-03-01","0"
"n2","04:45","2017-05-21","0"
"n2","12:30","2017-08-27","4.8"
"n2","17:15","2017-01-21","0.22"
"n2","04:30","2017-07-25","0.07"
"n2","12:45","2017-04-10","3.72"
"n2","05:15","2017-07-24","0.07"
"n2","22:15","2017-07-05","0"
"n2","00:15","2017-03-10","0"
"n2","11:45","2017-09-13","20.78"
"n2","15:15","2017-07-22","17.32"
"n2","07:00","2017-07-29","1.23"
"n2","19:15","2017-07-09","0"
"n2","07:00","2017-07-31","1.84"
"n2","11:30","2017-08-07","9.73"
"n2","06:30","2017-10-11","0"
"n2","11:00","2017-07-15","1.51"
"n2","20:45","2017-12-28","4.31"
"n2","12:00","2017-01-31","3.8"
"n2","16:45","2017-08-05","1.13"
"n2","01:00","2017-11-29","0.17"
"n2","00:30","2017-09-21","0.19"
"n2","08:30","2017-03-18","1.27"
"n2","07:00","2017-10-24","0.07"
"n2","07:15","2017-03-18","0.2"
"n2","08:15","2017-03-15","1.1"
"n2","15:30","2017-12-23","15.04"
"n2","23:15","2017-08-13","0.17"
"n2","22:15","2017-04-15","0"
"n2","02:00","2017-03-26","0"
"n2","02:00","2017-05-27","0"
"n2","18:45","2017-02-07","0.1"
"n2","14:45","2017-08-26","14.92"
"n2","05:15","2017-08-28","0"
"n2","03:45","2017-10-17","0"
"n2","05:45","2017-04-03","0"
"n2","10:30","2017-08-25","11.7"
"n2","22:00","2017-02-23","0"
"n2","16:45","2017-10-19","10.3"
"n2","04:45","2017-12-12","4.39"
"n2","05:30","2017-11-16","0.14"
"n2","08:15","2017-05-06","1.61"
"n2","17:30","2017-04-18","0.49"
"n2","16:00","2017-06-08","0.42"
"n2","02:00","2017-07-16","0"
"n2","12:00","2017-11-27","24.8"
"n2","10:30","2017-06-25","2.23"
"n2","12:45","2017-04-09","0.07"
"n2","08:45","2017-06-23","1.94"
"n2","03:30","2017-01-27","0"
"n2","15:45","2017-09-20","11.55"
"n2","13:00","2017-04-05","3.89"
"n2","09:15","2017-04-18","2.12"
"n2","21:30","2017-01-07","0"
"n2","17:00","2017-08-13","5.23"
"n2","00:45","2017-08-12","0.07"
"n2","15:30","2017-01-01","0"
"n2","19:45","2017-10-22","0.07"
"n2","22:15","2017-12-01","0.1"
"n2","03:45","2017-08-23","0"
"n2","00:00","2017-04-12","0"
"n2","07:15","2017-04-09","0.07"
"n2","15:15","2017-05-28","2.08"
"n2","17:45","2017-03-04","0"
"n2","18:30","2017-10-20","0.07"
"n2","23:15","2017-07-31","0"
"n2","12:30","2017-02-27","3.85"
"n2","13:30","2017-01-10","0"
"n2","00:15","2017-01-19","0.1"
"n2","18:30","2017-12-14","4.4"
"n2","05:15","2017-07-17","0"
"n2","06:30","2017-12-15","4.4"
"n2","17:00","2017-03-22","0.89"
"n2","23:15","2017-04-12","0"
"n2","21:00","2017-11-08","0.07"
"n2","15:30","2017-07-20","2.97"
"n2","16:30","2017-10-03","1.92"
"n2","04:30","2017-05-05","0"
"n2","06:15","2017-02-28","0.07"
"n2","06:30","2017-03-29","0"
"n2","04:30","2017-03-06","0"
"n2","04:30","2017-05-07","0"
"n2","23:00","2017-02-01","0"
"n2","21:45","2017-09-14","0.1"
"n2","17:15","2017-05-28","0.2"
"n2","06:45","2017-04-20","0.11"
